"","respondent","q_item","congenial","responses","survey","response_type"
"269",115,"aca",NA,1,"Closed","closed"
"270",115,"aca2",NA,1,"Closed","closed"
"271",115,"gg",NA,0,"Closed","closed"
"272",115,"dt",NA,1,"Closed","closed"
"273",117,"aca",NA,1,"Closed","closed"
"274",117,"aca2",NA,1,"Closed","closed"
"275",117,"gg",NA,1,"Closed","closed"
"276",117,"dt",NA,1,"Closed","closed"
"277",121,"aca","1",1,"Closed","closed"
"278",121,"aca2","1",1,"Closed","closed"
"279",121,"gg","1",0,"Closed","closed"
"280",121,"dt","0",1,"Closed","closed"
"281",125,"aca","1",0,"Closed","closed"
"282",125,"aca2","1",0,"Closed","closed"
"283",125,"gg","1",1,"Closed","closed"
"284",125,"dt","0",1,"Closed","closed"
"285",126,"aca","1",1,"Closed","closed"
"286",126,"aca2","1",0,"Closed","closed"
"287",126,"gg","1",1,"Closed","closed"
"288",126,"dt","0",0,"Closed","closed"
"289",128,"aca","1",0,"Closed","closed"
"290",128,"aca2","1",0,"Closed","closed"
"291",128,"gg","1",0,"Closed","closed"
"292",128,"dt","0",1,"Closed","closed"
"293",129,"aca",NA,0,"Closed","closed"
"294",129,"aca2",NA,0,"Closed","closed"
"295",129,"gg",NA,0,"Closed","closed"
"296",129,"dt",NA,1,"Closed","closed"
"297",130,"aca","1",0,"Closed","closed"
"298",130,"aca2","1",0,"Closed","closed"
"299",130,"gg","1",0,"Closed","closed"
"300",130,"dt","0",1,"Closed","closed"
"301",131,"aca","0",0,"Closed","closed"
"302",131,"aca2","0",0,"Closed","closed"
"303",131,"gg","0",0,"Closed","closed"
"304",131,"dt","1",1,"Closed","closed"
"305",132,"aca","1",1,"Closed","closed"
"306",132,"aca2","1",0,"Closed","closed"
"307",132,"gg","1",1,"Closed","closed"
"308",132,"dt","0",1,"Closed","closed"
"309",138,"aca","1",0,"Closed","closed"
"310",138,"aca2","1",0,"Closed","closed"
"311",138,"gg","1",0,"Closed","closed"
"312",138,"dt","0",1,"Closed","closed"
"313",141,"aca","1",1,"Closed","closed"
"314",141,"aca2","1",1,"Closed","closed"
"315",141,"gg","1",0,"Closed","closed"
"316",141,"dt","0",0,"Closed","closed"
"317",143,"aca","1",0,"Closed","closed"
"318",143,"aca2","1",1,"Closed","closed"
"319",143,"gg","1",0,"Closed","closed"
"320",143,"dt","0",1,"Closed","closed"
"321",144,"aca","1",1,"Closed","closed"
"322",144,"aca2","1",0,"Closed","closed"
"323",144,"gg","1",0,"Closed","closed"
"324",144,"dt","0",1,"Closed","closed"
"325",146,"aca","1",0,"Closed","closed"
"326",146,"aca2","1",0,"Closed","closed"
"327",146,"gg","1",0,"Closed","closed"
"328",146,"dt","0",1,"Closed","closed"
"329",151,"aca","0",0,"Closed","closed"
"330",151,"aca2","0",0,"Closed","closed"
"331",151,"gg","0",0,"Closed","closed"
"332",151,"dt","1",1,"Closed","closed"
"333",152,"aca","1",0,"Closed","closed"
"334",152,"aca2","1",1,"Closed","closed"
"335",152,"gg","1",0,"Closed","closed"
"336",152,"dt","0",1,"Closed","closed"
"337",153,"aca","1",1,"Closed","closed"
"338",153,"aca2","1",0,"Closed","closed"
"339",153,"gg","1",0,"Closed","closed"
"340",153,"dt","0",1,"Closed","closed"
"341",156,"aca","1",1,"Closed","closed"
"342",156,"aca2","1",1,"Closed","closed"
"343",156,"gg","1",0,"Closed","closed"
"344",156,"dt","0",1,"Closed","closed"
"345",158,"aca","1",1,"Closed","closed"
"346",158,"aca2","1",1,"Closed","closed"
"347",158,"gg","1",0,"Closed","closed"
"348",158,"dt","0",1,"Closed","closed"
"349",162,"aca","1",1,"Closed","closed"
"350",162,"aca2","1",0,"Closed","closed"
"351",162,"gg","1",1,"Closed","closed"
"352",162,"dt","0",1,"Closed","closed"
"353",164,"aca","1",0,"Closed","closed"
"354",164,"aca2","1",0,"Closed","closed"
"355",164,"gg","1",1,"Closed","closed"
"356",164,"dt","0",1,"Closed","closed"
"357",167,"aca","0",0,"Closed","closed"
"358",167,"aca2","0",0,"Closed","closed"
"359",167,"gg","0",0,"Closed","closed"
"360",167,"dt","1",1,"Closed","closed"
"361",168,"aca","0",0,"Closed","closed"
"362",168,"aca2","0",0,"Closed","closed"
"363",168,"gg","0",0,"Closed","closed"
"364",168,"dt","1",1,"Closed","closed"
"365",171,"aca","0",0,"Closed","closed"
"366",171,"aca2","0",0,"Closed","closed"
"367",171,"gg","0",1,"Closed","closed"
"368",171,"dt","1",1,"Closed","closed"
"369",172,"aca","1",0,"Closed","closed"
"370",172,"aca2","1",0,"Closed","closed"
"371",172,"gg","1",0,"Closed","closed"
"372",172,"dt","0",1,"Closed","closed"
"373",173,"aca","0",1,"Closed","closed"
"374",173,"aca2","0",0,"Closed","closed"
"375",173,"gg","0",1,"Closed","closed"
"376",173,"dt","1",0,"Closed","closed"
"377",174,"aca","0",0,"Closed","closed"
"378",174,"aca2","0",0,"Closed","closed"
"379",174,"gg","0",0,"Closed","closed"
"380",174,"dt","1",1,"Closed","closed"
"381",176,"aca","1",1,"Closed","closed"
"382",176,"aca2","1",0,"Closed","closed"
"383",176,"gg","1",1,"Closed","closed"
"384",176,"dt","0",1,"Closed","closed"
"385",178,"aca","1",0,"Closed","closed"
"386",178,"aca2","1",1,"Closed","closed"
"387",178,"gg","1",0,"Closed","closed"
"388",178,"dt","0",1,"Closed","closed"
"389",179,"aca","1",1,"Closed","closed"
"390",179,"aca2","1",1,"Closed","closed"
"391",179,"gg","1",1,"Closed","closed"
"392",179,"dt","0",1,"Closed","closed"
"393",181,"aca","0",0,"Closed","closed"
"394",181,"aca2","0",0,"Closed","closed"
"395",181,"gg","0",0,"Closed","closed"
"396",181,"dt","1",1,"Closed","closed"
"397",183,"aca","1",1,"Closed","closed"
"398",183,"aca2","1",0,"Closed","closed"
"399",183,"gg","1",0,"Closed","closed"
"400",183,"dt","0",1,"Closed","closed"
"401",186,"aca","1",0,"Closed","closed"
"402",186,"aca2","1",0,"Closed","closed"
"403",186,"gg","1",0,"Closed","closed"
"404",186,"dt","0",1,"Closed","closed"
"405",193,"aca","1",0,"Closed","closed"
"406",193,"aca2","1",0,"Closed","closed"
"407",193,"gg","1",1,"Closed","closed"
"408",193,"dt","0",1,"Closed","closed"
"409",196,"aca","1",0,"Closed","closed"
"410",196,"aca2","1",0,"Closed","closed"
"411",196,"gg","1",0,"Closed","closed"
"412",196,"dt","0",1,"Closed","closed"
"413",197,"aca","0",0,"Closed","closed"
"414",197,"aca2","0",0,"Closed","closed"
"415",197,"gg","0",1,"Closed","closed"
"416",197,"dt","1",1,"Closed","closed"
"417",199,"aca",NA,0,"Closed","closed"
"418",199,"aca2",NA,0,"Closed","closed"
"419",199,"gg",NA,0,"Closed","closed"
"420",199,"dt",NA,1,"Closed","closed"
"421",200,"aca","1",1,"Closed","closed"
"422",200,"aca2","1",0,"Closed","closed"
"423",200,"gg","1",1,"Closed","closed"
"424",200,"dt","0",1,"Closed","closed"
"425",201,"aca","1",1,"Closed","closed"
"426",201,"aca2","1",0,"Closed","closed"
"427",201,"gg","1",1,"Closed","closed"
"428",201,"dt","0",1,"Closed","closed"
"429",202,"aca",NA,0,"Closed","closed"
"430",202,"aca2",NA,0,"Closed","closed"
"431",202,"gg",NA,0,"Closed","closed"
"432",202,"dt",NA,0,"Closed","closed"
"433",205,"aca","0",0,"Closed","closed"
"434",205,"aca2","0",0,"Closed","closed"
"435",205,"gg","0",0,"Closed","closed"
"436",205,"dt","1",1,"Closed","closed"
"437",206,"aca","1",1,"Closed","closed"
"438",206,"aca2","1",1,"Closed","closed"
"439",206,"gg","1",0,"Closed","closed"
"440",206,"dt","0",1,"Closed","closed"
"441",207,"aca","1",0,"Closed","closed"
"442",207,"aca2","1",0,"Closed","closed"
"443",207,"gg","1",0,"Closed","closed"
"444",207,"dt","0",1,"Closed","closed"
"445",209,"aca","1",0,"Closed","closed"
"446",209,"aca2","1",1,"Closed","closed"
"447",209,"gg","1",0,"Closed","closed"
"448",209,"dt","0",1,"Closed","closed"
"449",211,"aca","1",0,"Closed","closed"
"450",211,"aca2","1",0,"Closed","closed"
"451",211,"gg","1",0,"Closed","closed"
"452",211,"dt","0",0,"Closed","closed"
"453",212,"aca","1",1,"Closed","closed"
"454",212,"aca2","1",0,"Closed","closed"
"455",212,"gg","1",1,"Closed","closed"
"456",212,"dt","0",1,"Closed","closed"
"457",213,"aca","0",1,"Closed","closed"
"458",213,"aca2","0",0,"Closed","closed"
"459",213,"gg","0",1,"Closed","closed"
"460",213,"dt","1",1,"Closed","closed"
"461",219,"aca","1",0,"Closed","closed"
"462",219,"aca2","1",0,"Closed","closed"
"463",219,"gg","1",1,"Closed","closed"
"464",219,"dt","0",1,"Closed","closed"
"465",221,"aca","0",0,"Closed","closed"
"466",221,"aca2","0",0,"Closed","closed"
"467",221,"gg","0",1,"Closed","closed"
"468",221,"dt","1",1,"Closed","closed"
"469",223,"aca","1",1,"Closed","closed"
"470",223,"aca2","1",0,"Closed","closed"
"471",223,"gg","1",1,"Closed","closed"
"472",223,"dt","0",1,"Closed","closed"
"473",224,"aca","0",0,"Closed","closed"
"474",224,"aca2","0",0,"Closed","closed"
"475",224,"gg","0",0,"Closed","closed"
"476",224,"dt","1",0,"Closed","closed"
"477",225,"aca",NA,0,"Closed","closed"
"478",225,"aca2",NA,1,"Closed","closed"
"479",225,"gg",NA,0,"Closed","closed"
"480",225,"dt",NA,1,"Closed","closed"
"481",227,"aca","0",0,"Closed","closed"
"482",227,"aca2","0",0,"Closed","closed"
"483",227,"gg","0",0,"Closed","closed"
"484",227,"dt","1",1,"Closed","closed"
"485",230,"aca","1",1,"Closed","closed"
"486",230,"aca2","1",0,"Closed","closed"
"487",230,"gg","1",1,"Closed","closed"
"488",230,"dt","0",1,"Closed","closed"
"489",232,"aca",NA,0,"Closed","closed"
"490",232,"aca2",NA,0,"Closed","closed"
"491",232,"gg",NA,0,"Closed","closed"
"492",232,"dt",NA,0,"Closed","closed"
"493",234,"aca","1",1,"Closed","closed"
"494",234,"aca2","1",0,"Closed","closed"
"495",234,"gg","1",0,"Closed","closed"
"496",234,"dt","0",1,"Closed","closed"
"497",235,"aca",NA,0,"Closed","closed"
"498",235,"aca2",NA,0,"Closed","closed"
"499",235,"gg",NA,1,"Closed","closed"
"500",235,"dt",NA,0,"Closed","closed"
"501",236,"aca","1",0,"Closed","closed"
"502",236,"aca2","1",0,"Closed","closed"
"503",236,"gg","1",0,"Closed","closed"
"504",236,"dt","0",1,"Closed","closed"
"505",237,"aca","1",0,"Closed","closed"
"506",237,"aca2","1",0,"Closed","closed"
"507",237,"gg","1",0,"Closed","closed"
"508",237,"dt","0",1,"Closed","closed"
"509",240,"aca","0",0,"Closed","closed"
"510",240,"aca2","0",0,"Closed","closed"
"511",240,"gg","0",0,"Closed","closed"
"512",240,"dt","1",1,"Closed","closed"
"513",244,"aca","1",0,"Closed","closed"
"514",244,"aca2","1",0,"Closed","closed"
"515",244,"gg","1",0,"Closed","closed"
"516",244,"dt","0",1,"Closed","closed"
"517",246,"aca","1",0,"Closed","closed"
"518",246,"aca2","1",0,"Closed","closed"
"519",246,"gg","1",0,"Closed","closed"
"520",246,"dt","0",1,"Closed","closed"
"521",247,"aca",NA,0,"Closed","closed"
"522",247,"aca2",NA,0,"Closed","closed"
"523",247,"gg",NA,0,"Closed","closed"
"524",247,"dt",NA,1,"Closed","closed"
"525",248,"aca",NA,1,"Closed","closed"
"526",248,"aca2",NA,0,"Closed","closed"
"527",248,"gg",NA,0,"Closed","closed"
"528",248,"dt",NA,1,"Closed","closed"
"529",251,"aca","1",0,"Closed","closed"
"530",251,"aca2","1",0,"Closed","closed"
"531",251,"gg","1",0,"Closed","closed"
"532",251,"dt","0",1,"Closed","closed"
"533",252,"aca","1",0,"Closed","closed"
"534",252,"aca2","1",0,"Closed","closed"
"535",252,"gg","1",1,"Closed","closed"
"536",252,"dt","0",1,"Closed","closed"
"537",253,"aca","1",0,"Closed","closed"
"538",253,"aca2","1",0,"Closed","closed"
"539",253,"gg","1",0,"Closed","closed"
"540",253,"dt","0",1,"Closed","closed"
"541",254,"aca","1",0,"Closed","closed"
"542",254,"aca2","1",0,"Closed","closed"
"543",254,"gg","1",0,"Closed","closed"
"544",254,"dt","0",1,"Closed","closed"
"545",255,"aca","1",0,"Closed","closed"
"546",255,"aca2","1",0,"Closed","closed"
"547",255,"gg","1",0,"Closed","closed"
"548",255,"dt","0",1,"Closed","closed"
"549",257,"aca",NA,0,"Closed","closed"
"550",257,"aca2",NA,1,"Closed","closed"
"551",257,"gg",NA,0,"Closed","closed"
"552",257,"dt",NA,0,"Closed","closed"
"553",258,"aca",NA,1,"Closed","closed"
"554",258,"aca2",NA,1,"Closed","closed"
"555",258,"gg",NA,0,"Closed","closed"
"556",258,"dt",NA,1,"Closed","closed"
"557",261,"aca","1",0,"Closed","closed"
"558",261,"aca2","1",1,"Closed","closed"
"559",261,"gg","1",0,"Closed","closed"
"560",261,"dt","0",0,"Closed","closed"
"561",263,"aca","1",0,"Closed","closed"
"562",263,"aca2","1",0,"Closed","closed"
"563",263,"gg","1",0,"Closed","closed"
"564",263,"dt","0",1,"Closed","closed"
"565",265,"aca","1",0,"Closed","closed"
"566",265,"aca2","1",0,"Closed","closed"
"567",265,"gg","1",0,"Closed","closed"
"568",265,"dt","0",1,"Closed","closed"
"569",266,"aca","1",1,"Closed","closed"
"570",266,"aca2","1",1,"Closed","closed"
"571",266,"gg","1",0,"Closed","closed"
"572",266,"dt","0",0,"Closed","closed"
"573",267,"aca","0",0,"Closed","closed"
"574",267,"aca2","0",0,"Closed","closed"
"575",267,"gg","0",0,"Closed","closed"
"576",267,"dt","1",1,"Closed","closed"
"577",271,"aca","0",0,"Closed","closed"
"578",271,"aca2","0",0,"Closed","closed"
"579",271,"gg","0",0,"Closed","closed"
"580",271,"dt","1",1,"Closed","closed"
"581",273,"aca","1",1,"Closed","closed"
"582",273,"aca2","1",1,"Closed","closed"
"583",273,"gg","1",0,"Closed","closed"
"584",273,"dt","0",1,"Closed","closed"
"585",276,"aca","1",0,"Closed","closed"
"586",276,"aca2","1",1,"Closed","closed"
"587",276,"gg","1",0,"Closed","closed"
"588",276,"dt","0",1,"Closed","closed"
"589",278,"aca",NA,0,"Closed","closed"
"590",278,"aca2",NA,0,"Closed","closed"
"591",278,"gg",NA,0,"Closed","closed"
"592",278,"dt",NA,0,"Closed","closed"
"593",281,"aca","1",0,"Closed","closed"
"594",281,"aca2","1",0,"Closed","closed"
"595",281,"gg","1",0,"Closed","closed"
"596",281,"dt","0",1,"Closed","closed"
"597",284,"aca","1",1,"Closed","closed"
"598",284,"aca2","1",0,"Closed","closed"
"599",284,"gg","1",0,"Closed","closed"
"600",284,"dt","0",1,"Closed","closed"
"601",285,"aca","1",0,"Closed","closed"
"602",285,"aca2","1",0,"Closed","closed"
"603",285,"gg","1",0,"Closed","closed"
"604",285,"dt","0",0,"Closed","closed"
"605",287,"aca","1",0,"Closed","closed"
"606",287,"aca2","1",1,"Closed","closed"
"607",287,"gg","1",0,"Closed","closed"
"608",287,"dt","0",1,"Closed","closed"
"609",288,"aca","1",0,"Closed","closed"
"610",288,"aca2","1",0,"Closed","closed"
"611",288,"gg","1",0,"Closed","closed"
"612",288,"dt","0",1,"Closed","closed"
"613",290,"aca",NA,0,"Closed","closed"
"614",290,"aca2",NA,0,"Closed","closed"
"615",290,"gg",NA,0,"Closed","closed"
"616",290,"dt",NA,0,"Closed","closed"
"617",291,"aca",NA,0,"Closed","closed"
"618",291,"aca2",NA,0,"Closed","closed"
"619",291,"gg",NA,0,"Closed","closed"
"620",291,"dt",NA,0,"Closed","closed"
"621",292,"aca",NA,1,"Closed","closed"
