respondent,pid,pid_strength_1,democrat,republican,independent,democrat_noleaners,democrat_leaners,questions,rgc_c_aca2,rgc_c_dt,responses,aca2_correct,dt_correct,correct,knowledge,cheating,guessing,inference,expressive,congenial
45,Republican,9,0,1,0,0,0,rgc_c_dt_p,Replace Medicare with a “public option”,Strip immigrants from several Muslim-majority countries of their green cards,"It makes sense, in view of other things I know",NA,0,0,0,0,0,0,0,1
47,Republican,7,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
47,Republican,7,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
48,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
48,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
51,Democrat,2,1,0,0,1,1,rgc_c_aca2_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,0,NA,0,0,0,0,0,0,1
51,Democrat,2,1,0,0,1,1,rgc_c_dt_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
56,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
56,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
59,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Replace Medicare with a “public option”,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,0
59,Republican,10,0,1,0,0,0,rgc_c_dt_p,Replace Medicare with a “public option”,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,1
62,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,NA
62,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
63,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,NA
63,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Cut benefits to existing Medicare patients,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",NA,0,0,0,0,0,0,0,NA
66,Republican,8,0,1,0,0,0,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,0
66,Republican,8,0,1,0,0,0,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
67,NA,4,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
67,NA,4,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
68,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,0
68,Republican,10,0,1,0,0,0,rgc_c_dt_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
69,NA,2,1,0,0,NA,1,rgc_c_aca2_p,Replace Medicare with a “public option”,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,1
69,NA,2,1,0,0,NA,1,rgc_c_dt_p,Replace Medicare with a “public option”,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
71,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
71,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
73,Democrat,4,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
73,Democrat,4,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
78,Democrat,5,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
78,Democrat,5,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
82,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,0
82,Republican,10,0,1,0,0,0,rgc_c_dt_p,Cut benefits to existing Medicare patients,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,1
89,Republican,9,0,1,0,0,0,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,0
89,Republican,9,0,1,0,0,0,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,1
90,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Don’t know,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,NA
90,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Don’t know,NA,NA,0,0,0,0,0,0,0,NA
94,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,1,NA,1,0,0,1,0,0,NA
94,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
99,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,NA
99,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
101,Democrat,2,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,1
101,Democrat,2,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
104,Republican,4,0,1,0,0,0,rgc_c_aca2_p,Replace Medicare with a “public option”,Strip immigrants from countries supporting terrorism of their green cards,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,0
104,Republican,4,0,1,0,0,0,rgc_c_dt_p,Replace Medicare with a “public option”,Strip immigrants from countries supporting terrorism of their green cards,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,1
106,Republican,9,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
106,Republican,9,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
107,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Don’t know,Don’t know,NA,0,NA,0,0,0,0,0,0,NA
107,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Don’t know,Don’t know,NA,NA,0,0,0,0,0,0,0,NA
111,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Create government panels to make end-of-life decisions for people on Medicare,Strip immigrants from several Muslim-majority countries of their green cards,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,1
111,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Create government panels to make end-of-life decisions for people on Medicare,Strip immigrants from several Muslim-majority countries of their green cards,"It makes sense, in view of other things I know",NA,0,0,0,0,0,0,0,0
114,Republican,9,0,1,0,0,0,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,0
114,Republican,9,0,1,0,0,0,rgc_c_dt_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
115,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,NA
115,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
117,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,NA
117,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
121,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,1,NA,1,0,0,1,0,0,1
121,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
126,NA,3,1,0,0,NA,1,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,1
126,NA,3,1,0,0,NA,1,rgc_c_dt_p,Cut benefits to existing Medicare patients,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
128,Democrat,4,1,0,0,1,1,rgc_c_aca2_p,Create government panels to make end-of-life decisions for people on Medicare,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,0,NA,0,0,0,0,0,0,1
128,Democrat,4,1,0,0,1,1,rgc_c_dt_p,Create government panels to make end-of-life decisions for people on Medicare,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
129,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,NA
129,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
130,Democrat,4,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
130,Democrat,4,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
131,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
131,Republican,10,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
138,Democrat,2,1,0,0,1,1,rgc_c_aca2_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,1
138,Democrat,2,1,0,0,1,1,rgc_c_dt_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
141,NA,3,1,0,0,NA,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Strip immigrants from several Muslim-majority countries of their green cards,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,1
141,NA,3,1,0,0,NA,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Strip immigrants from several Muslim-majority countries of their green cards,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
144,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,1
144,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
146,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
146,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
151,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
151,Republican,10,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",NA,1,1,0,0,0,1,0,1
152,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,1
152,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
153,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
153,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
156,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,1,NA,1,0,0,1,0,0,1
156,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,NA,1,1,0,0,1,0,0,0
158,Democrat,2,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,1
158,Democrat,2,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
162,NA,1,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
162,NA,1,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
167,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
167,Republican,10,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
168,Republican,7,0,1,0,0,0,rgc_c_aca2_p,Create government panels to make end-of-life decisions for people on Medicare,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,0
168,Republican,7,0,1,0,0,0,rgc_c_dt_p,Create government panels to make end-of-life decisions for people on Medicare,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
171,Republican,8,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
171,Republican,8,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
173,Republican,7,0,1,0,0,0,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,0
173,Republican,7,0,1,0,0,0,rgc_c_dt_p,Cut benefits to existing Medicare patients,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,1
176,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
176,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",NA,1,1,0,0,0,1,0,0
181,NA,6,NA,NA,NA,NA,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
181,NA,6,NA,NA,NA,NA,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
186,Democrat,2,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
186,Democrat,2,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
196,NA,3,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
196,NA,3,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
200,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
200,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
201,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Create government panels to make end-of-life decisions for people on Medicare,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,1
201,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Create government panels to make end-of-life decisions for people on Medicare,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
205,Republican,6,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
205,Republican,6,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
